"","SiteID","stability","pop_stab","async_l","async_g","avg_richness"
"MNP.5550","MNP.5550",8.0385627541883,2.19828798311193,13.3717313081968,0.925046818925994,46.9
"MNP.5553","MNP.5553",5.3937222755203,1.86578766663695,8.35704470872519,0.893000354002545,42.3
"MNP.5556","MNP.5556",8.58748544995167,2.34424344823521,13.4191994123458,0.918474794065317,52.8
"MNP.5578","MNP.5578",8.86730101019296,2.23553765587964,15.7332673809678,0.957639972210001,36.8
"MNP.5580","MNP.5580",6.14071588319381,1.99102823030515,9.51224817289548,0.920515619785322,23.2666666666667
"MNP.5597","MNP.5597",5.15563340878539,2.11864893137382,5.92169536572822,0.807304957291341,22.3333333333333
"MNP.5614","MNP.5614",15.2658936422301,2.69368391265105,32.1182001008779,0.976013789938461,43.1428571428571
"MNP.5625","MNP.5625",9.40213913932756,2.05768205604162,20.8783804486186,0.935482295897433,40.9473684210526
"MNP.5628","MNP.5628",5.65111556119723,1.81574934523071,9.68627030592273,0.918965575465108,35.5555555555556
"MNP.5642","MNP.5642",4.85837377622119,2.38778879205211,4.13990170077763,0.756007202665171,34.2
"MNP.5650","MNP.5650",7.92320924265939,1.99664382458791,15.7471169188148,0.904814870438421,45.2941176470588
"MNP.5651","MNP.5651",6.53611071018294,1.68480699189946,15.0500688678292,0.899262044522347,26.95
"MNP.5652","MNP.5652",9.78392848238306,2.11273873552059,21.4454394109363,0.894912326015923,38.5
"MNP.5654","MNP.5654",8.21067962575338,2.09131008976524,15.4142127083072,0.926961369774203,32.15
"MNP.5655","MNP.5655",11.7775119973324,2.28912046938847,26.4709673823397,0.927937199938498,34.75
"MNP.5670","MNP.5670",9.07179000680166,2.1342597780185,18.0672235280354,0.9139715845457,40.5
"MNP.5675","MNP.5675",4.35122457945547,2.03191246175539,4.58577783056309,0.841186590887086,48.4736842105263
"MNP.5676","MNP.5676",4.61246224179361,2.00865112876586,5.27298604152367,0.756251316832505,52.4736842105263
"MNP.5683","MNP.5683",9.74991546987376,2.37897836922492,16.7965742619148,0.915562957971632,33.45
"MNP.5684","MNP.5684",10.5741028646489,2.25592409546711,21.9704066771487,0.941063024626472,49.15
"MNP.5685","MNP.5685",10.4867761310681,2.49863989944306,17.6147568385597,0.922616046004116,34.95
"MNP.5694","MNP.5694",6.48607648319208,1.86426496185148,12.1045557930538,0.870460198473955,38.6
"MNP.5699","MNP.5699",4.51419488978936,1.74080767080839,6.72448495313558,0.82155680366291,26.0526315789474
"MNP.5707","MNP.5707",11.0083882564118,2.01449377536459,29.8617748816425,0.98528623386409,36.2941176470588
"MNP.5713","MNP.5713",4.71200063123668,2.14046156754749,4.84613838017414,0.740164438048579,39.3333333333333
"MNP.5714","MNP.5714",4.76691370068171,1.81310155466271,6.91242319201887,0.911300271219855,33.3333333333333
"MNP.5717","MNP.5717",4.39603186775941,1.97341784368657,4.96230624066731,0.776690303599483,40.8
"MNP.5719","MNP.5719",5.40124586445513,1.96631551619295,7.54538633315009,0.800664778566787,38.2
"MNP.5720","MNP.5720",4.620080086895,2.15923000947982,4.57826780209611,0.770086217707924,39.8
"MNP.5731","MNP.5731",7.45227211521688,2.0268925326491,13.5181096133685,0.899440546418894,38.5
"MNP.5735","MNP.5735",11.8822623653045,2.06591102948407,33.0807270989432,0.945620118446115,48.5
"MNP.5736","MNP.5736",6.7123317089063,1.95880835049864,11.742563758586,0.984368756910731,26.6
"MNP.5742","MNP.5742",4.48554630621554,2.01098730162904,4.97521705282952,0.650656423324589,62.5
"MNP.5773","MNP.5773",7.07112205143185,1.80481662146593,15.3500750442783,0.937584755780234,25.4444444444444
"MNP.5780","MNP.5780",5.4755190704939,1.32634268656191,17.0427274091868,0.867624857381001,25.3157894736842
"MNP.5781","MNP.5781",5.93740816318969,1.18601059937924,25.0620544848345,0.976025705414748,22.6842105263158
"MNP.5782","MNP.5782",6.93070796747749,1.59796650041095,18.811345431848,0.930691017488488,32.2
"MNP.5783","MNP.5783",4.5811831855176,1.5068760161396,9.24273017825048,0.901242127824567,29.4
"MNP.5784","MNP.5784",3.96376964857896,1.31636014797553,9.06707825683939,0.88123494662999,29.15
"MNP.6070","MNP.6070",4.86376099920421,2.2491638347823,4.67629896321466,0.790398893358428,26.8333333333333
