"","SiteID","stability","pop_stab","async_l","async_g","avg_richness"
"0field","0field",1.36856407676735,0.788611038646043,3.01165048324111,0.818427792350321,5.75
"0forest","0forest",1.42928648948235,1.1421811425792,1.56591651934883,0.795256995286532,2.8
"10field","10field",1.40982240216827,0.8614869324604,2.67812859207601,0.913378130961095,3.1
"10forest","10forest",1.40587004670961,1.19412244304017,1.38609384300008,0.617458036120173,2.23076923076923
"11field","11field",2.83441856309655,1.14663944511631,6.1104643099448,1.43502910767506,2.6
"11forest","11forest",1.40348851565929,0.934184592160614,2.25710792942796,0.802907368779538,2.85
"12field","12field",1.87069162686956,0.978402999106917,3.65568573591254,0.991806125625845,2.94117647058824
"12forest","12forest",1.96960874159582,1.51912967792709,1.68100973948692,0.690467586351182,2.6
"13field","13field",1.17762278224316,0.920391530782601,1.63706969996295,0.76921758904598,2.85
"13forest","13forest",1.23615274372607,1.09355204956223,1.27780727535579,0.443863937358668,2.17647058823529
"14forest","14forest",1.7013773483509,1.27579331379524,1.77844586226774,0.832354924001465,1.85
"15field","15field",1.19875605270804,0.737273637430676,2.64365157321345,1.09671869606286,2.61538461538462
"15forest","15forest",1.59542486840015,1.17153994599004,1.85454985120029,0.796943834961795,2.57894736842105
"16field","16field",1.92748979634489,1.16588661022578,2.73320084378885,0.894061123852976,4.35
"16forest","16forest",2.08721474184629,1.37616501901565,2.3003463940965,0.912483016677218,3.5
"18field","18field",1.21757785473498,0.768599145313336,2.50953748279654,0.825691539243038,3.52631578947368
"1field","1field",1.09392302509029,0.732860659215558,2.22807963570553,0.846531467851871,5.45
"1forest","1forest",1.24215935764661,1.014934659557,1.49788497124726,0.597734953775991,3.3
"20field","20field",1.30499717596414,0.963260986821616,1.83540200281848,0.743212473487122,2.45
"20forest","20forest",1.31427965921628,1.21708619215271,1.16609223179386,0.9265101995873,1.78571428571429
"21field","21field",1.99209491842609,1.29168381832956,2.37852443511526,0.953092633421519,2.76470588235294
"21forest","21forest",1.00892270532944,0.739514838341715,1.8613241252634,0.95753353192872,1.64285714285714
"22field","22field",1.08415020562501,0.879901745968597,1.51813556362878,0.612034486433134,3.38461538461538
"22forest","22forest",1.97469903480864,1.14699078748263,2.96402572352747,0.950626112223643,2.61538461538462
"23field","23field",1.73583247129368,0.993701125603939,3.0514345055925,1.00222869336661,2.47368421052632
"23forest","23forest",1.73036418378151,1.18119103517362,2.14602486730935,0.84925466703517,2.57894736842105
"25field","25field",1.06299735836851,0.666601906092889,2.54291163102453,1.04784540929583,2.52941176470588
"25forest","25forest",2.44310530496288,1.4198415355285,2.96076964833118,1.06856006541036,3.55
"27forest","27forest",1.33203524066271,0.96426487710692,1.90826521341009,0.816445146380294,2.55
"28field","28field",1.27678507716757,0.8836467789757,2.08774858837373,0.976735047109425,3.0625
"28forest","28forest",2.45602344289924,1.34385085644303,3.34012615995795,0.924485430822808,2.58823529411765
"29field","29field",1.34134166397215,0.622988522243709,4.63573645845088,0.961744811197939,3.2
"29forest","29forest",1.14709612262238,1.00121716767635,1.31263218294642,0.687055144169248,1.875
"2forest","2forest",1.26381375057343,1.15967972907634,1.18765423254349,0.353833783509263,1.9
"31field","31field",1.31903174914984,0.988129429063288,1.78189795947403,1.1041209314737,2.92307692307692
"31forest","31forest",1.30821575440481,1.09553319745877,1.42596105708784,0.53868112554398,2.21052631578947
"32field","32field",1.47359209189987,0.622965987043708,5.59533242253976,1.03812616325059,3.77777777777778
"32forest","32forest",1.70733875769113,1.12186096975793,2.31612140693601,1.00787206800815,2.23076923076923
"33field","33field",1.24333301666276,0.786813610781865,2.49707280534852,0.858011506269161,2.64705882352941
"33forest","33forest",1.6605554721578,1.45182722665238,1.30820830837966,0.709942387942285,2.11764705882353
"34field","34field",1.48946765387647,0.935605054153057,2.53441093729454,0.851549970409961,3.89473684210526
"34forest","34forest",2.02779620496542,1.42761633214411,2.01755599286412,0.983749739274264,2.25
"35field","35field",1.54186778607486,0.912738665678398,2.85365438091387,0.858465647167172,5.05
"35forest","35forest",1.5320396293629,1.23721285703357,1.53338478514927,0.742269190398182,2.6
"7field","7field",1.82383513787302,1.31356704892849,1.92782081880598,0.851092198890621,3.15
"7forest","7forest",1.69334114301165,1.40167798434116,1.4594607402857,0.763016653499019,2.9
"8field","8field",1.89979266372847,1.04813836942679,3.28530105656201,1.08637515978262,2.16666666666667
"8forest","8forest",1.79461386796825,1.00417753199252,3.19389797398545,0.742783482945246,3.5625
"9field","9field",1.53750594576006,1.01812132110667,2.2805234541512,0.762146443893241,2.8
"9forest","9forest",2.05326904551893,1.37845264793597,2.2187481886196,1.10086162271415,2
