"Species","wintering","voltinism","host_usage","wingspan"
"Papilio_machaon","pupa","univoltine","polyphagous",75
"Parnassius_mnemosyne","egg","univoltine","oligophagous",58
"Parnassius_apollo","egg","univoltine","oligophagous",80
"Carterocephalus_silvicola","larva","univoltine","oligophagous",25
"Carterocephalus_palaemon","larva","univoltine","oligophagous",27
"Ochlodes_sylvanus","larva","univoltine","polyphagous",30
"Hesperia_comma","egg","univoltine","oligophagous",31
"Thymelicus_lineola","egg","univoltine","polyphagous",25.5
"Pyrgus_malvae","pupa","univoltine","oligophagous",23
"Pyrgus_centaureae","larva","univoltine","monophagous",29.5
"Pyrgus_alveus","larva","univoltine","polyphagous",28.5
"Leptidea_juvernica","pupa","univoltine","oligophagous",42
"Leptidea_sinapis","pupa","univoltine","oligophagous",38
"Gonepteryx_rhamni","adult","univoltine","oligophagous",58
"Colias_hyale","larva","bivoltine","oligophagous",45
"Colias_crocea","larva","multivoltine","oligophagous",48
"Colias_palaeno","larva","univoltine","oligophagous",47
"Aporia_crataegi","larva","univoltine","oligophagous",62.5
"Pontia_edusa","pupa","multivoltine","polyphagous",41.5
"Pieris_brassicae","pupa","bivoltine","oligophagous",57
"Pieris_rapae","pupa","univoltine","polyphagous",44.5
"Pieris_napi","pupa","univoltine","oligophagous",40
"Anthocharis_cardamines","pupa","univoltine","oligophagous",40.5
"Lycaena_helle","pupa","univoltine","oligophagous",24
"Lycaena_dispar","larva","univoltine","oligophagous",37
"Lycaena_hippothoe","larva","univoltine","oligophagous",30.5
"Lycaena_phlaeas","larva","univoltine","oligophagous",26.5
"Lycaena_virgaureae","larva","univoltine","oligophagous",27
"Thecla_betulae","egg","univoltine","polyphagous",35
"Favonius_quercus","egg","univoltine","oligophagous",32
"Callophrys_rubi","pupa","univoltine","polyphagous",23
"Satyrium_pruni","egg","univoltine","oligophagous",31.5
"Satyrium_w-album","egg","univoltine","polyphagous",30
"Celastrina_argiolus","pupa","univoltine","polyphagous",27
"Scolitantides_orion","pupa","univoltine","oligophagous",27.5
"Glaucopsyche_alexis","pupa","univoltine","oligophagous",29
"Cupido_argiades","larva","bivoltine","oligophagous",29
"Plebejus_argus","egg","univoltine","polyphagous",22.5
"Plebejus_idas","egg","univoltine","polyphagous",24.5
"Agriades_optilete","larva","univoltine","oligophagous",25
"Eumedonia_eumedon","larva","univoltine","oligophagous",28
"Cyaniris_semiargus","larva","univoltine","oligophagous",29
"Aricia_nicias","larva","univoltine","oligophagous",25.5
"Aricia_artaxerxes","larva","univoltine","polyphagous",27.5
"Polyommatus_amandus","larva","univoltine","oligophagous",31
"Polyommatus_icarus","larva","univoltine","oligophagous",28.5
"Limenitis_populi","larva","univoltine","monophagous",77.5
"Limenitis_camilla","larva","univoltine","oligophagous",56
"Issoria_lathonia","larva","univoltine","oligophagous",42.5
"Brenthis_ino","egg","univoltine","oligophagous",37
"Argynnis_paphia","larva","univoltine","oligophagous",62
"Argynnis_laodice","larva","univoltine","monophagous",55
"Speyeria_aglaja","larva","univoltine","oligophagous",51.5
"Fabriciana_niobe","egg","univoltine","oligophagous",49.5
"Fabriciana_adippe","egg","univoltine","oligophagous",53.5
"Boloria_eunomia","larva","univoltine","monophagous",36.5
"Boloria_aquilonaris","larva","univoltine","monophagous",36
"Boloria_thore","larva","univoltine","oligophagous",44
"Boloria_selene","larva","univoltine","oligophagous",36.5
"Boloria_euphrosyne","larva","univoltine","oligophagous",36
"Boloria_frigga","larva","univoltine","monophagous",42.5
"Boloria_freija","larva","univoltine","polyphagous",34.5
"Boloria_titania","larva","univoltine","monophagous",39.5
"Apatura_iris","larva","univoltine","oligophagous",70
"Apatura_ilia","larva","univoltine","oligophagous",68
"Araschnia_levana","pupa","univoltine","oligophagous",33.5
"Vanessa_cardui","adult","univoltine","polyphagous",54
"Vanessa_atalanta","adult","univoltine","oligophagous",59.5
"Aglais_io","adult","univoltine","polyphagous",53.5
"Aglais_urticae","adult","univoltine","oligophagous",48
"Polygonia_c-album","adult","univoltine","polyphagous",46
"Nymphalis_polychloros","adult","univoltine","polyphagous",62
"Nymphalis_xanthomelas","adult","univoltine","oligophagous",62
"Nymphalis_antiopa","adult","univoltine","oligophagous",67.5
"Euphydryas_aurinia","larva","univoltine","polyphagous",36.5
"Euphydryas_maturna","larva","univoltine","polyphagous",41.5
"Melitaea_cinxia","larva","univoltine","oligophagous",35.5
"Melitaea_diamina","larva","univoltine","polyphagous",35.5
"Melitaea_athalia","larva","univoltine","polyphagous",35.5
"Coenonympha_pamphilus","larva","univoltine","oligophagous",28
"Coenonympha_tullia","larva","univoltine","oligophagous",31.5
"Coenonympha_glycerion","larva","univoltine","oligophagous",28
"Lopinga_achine","larva","univoltine","oligophagous",44
"Pararge_aegeria","pupa","univoltine","oligophagous",38
"Lasiommata_maera","larva","univoltine","polyphagous",47.5
"Lasiommata_petropolitana","pupa","univoltine","oligophagous",38
"Hipparchia_semele","larva","univoltine","oligophagous",51
"Oeneis_jutta","larva","univoltine","polyphagous",53
"Hyponephele_lycaon","larva","univoltine","oligophagous",38
"Aphantopus_hyperantus","larva","univoltine","polyphagous",38.5
"Maniola_jurtina","larva","univoltine","oligophagous",41.5
"Erebia_embla","larva","univoltine","oligophagous",47.5
"Erebia_ligea","egg","univoltine","oligophagous",41
