"Family","Species","wingspan","wintering","host_usage","voltinism","Abbrev_in_phylo"
"Geometridae","Epirrita autumnata",33.1,"egg","polyphagous","univoltine","Epi.autu"
"Geometridae","Dysstroma citratum",29.5,"egg","polyphagous","univoltine","Dys.citr"
"Geometridae","Eulithis populata",27.8,"egg","polyphagous","univoltine","Eul.popu"
"Noctuidae","Orthosia gothica",33.5,"pupa","polyphagous","univoltine","Ort.goth"
"Noctuidae","Cerapteryx graminis",33.7,"egg","polyphagous","univoltine","Cer.gram"
"Geometridae","Eupithecia pusillata",19,"egg","oligophagous","univoltine","Eup.pusi"
"Geometridae","Idaea biselata",19.2,"larva","oligophagous","univoltine","Ida.bise"
"Geometridae","Xanthorhoe montanata",27.1,"larva","polyphagous","univoltine","Xan.mont"
"Noctuidae","Mythimna impura",33.2,"larva","polyphagous","univoltine","Myt.impu"
"Geometridae","Scotopteryx chenopodiata",30.6,"larva","oligophagous","univoltine","Sco.chen"
"Noctuidae","Conistra vaccinii",32.7,"adult","polyphagous","univoltine","Con.vacc"
"Erebidae","Eilema lurideolum",29.6,"larva","polyphagous","univoltine","Eil.luri"
"Hepialidae","Pharmacis fusconebulosa",44.5,"larva","polyphagous","univoltine","Pha.fusc"
"Noctuidae","Xestia baja",39.3,"larva","polyphagous","univoltine","Xes.baja"
"Geometridae","Cabera exanthemata",29,"pupa","polyphagous","bivoltine","Cab.exan"
"Noctuidae","Amphipoea fucosa",33.5,"egg","polyphagous","univoltine","Amp.fuco"
"Noctuidae","Hydraecia micacea",35.9,"egg","polyphagous","univoltine","Hyd.mica"
"Erebidae","Rivula sericealis",21.5,"larva","polyphagous","bivoltine","Riv.seri"
"Geometridae","Cabera pusaria",30.4,"pupa","polyphagous","bivoltine","Cab.pusa"
"Geometridae","Operophtera brumata",0,"egg","polyphagous","univoltine","Ope.brum"
"Lasiocampidae","Poecilocampa populi",41.6,"egg","polyphagous","univoltine","Poe.popu"
"Geometridae","Perizoma didymatum",23.1,"egg","polyphagous","univoltine","Per.didy"
"Noctuidae","Rusina ferruginea",31.1,"larva","polyphagous","univoltine","Rus.ferr"
"Noctuidae","Cosmia trapezina",32.1,"egg","polyphagous","univoltine","Cos.trap"
"Geometridae","Macaria brunneata",22.4,"egg","polyphagous","univoltine","Mac.brun"
"Geometridae","Eulithis testata",26.4,"egg","polyphagous","univoltine","Eul.test"
"Geometridae","Macaria wauaria",28.3,"egg","oligophagous","univoltine","Mac.waua"
"Erebidae","Hypena proboscidalis",34.8,"larva","oligophagous","bivoltine","Hyp.prob"
"Geometridae","Eulithis prunata",32.5,"egg","oligophagous","univoltine","Eul.prun"
"Geometridae","Perizoma alchemillatum",19.8,"pupa","oligophagous","bivoltine","Per.alch"
"Geometridae","Hydriomena furcata",27.2,"egg","polyphagous","univoltine","Hyd.furc"
"Geometridae","Alcis repandatus",38,"larva","polyphagous","bivoltine","Alc.repa"
"Noctuidae","Xestia triangulum",40.5,"larva","polyphagous","univoltine","Xes.tria"
"Noctuidae","Eurois occultus",57.7,"larva","polyphagous","univoltine","Eur.occu"
"Erebidae","Eilema complanum",32.7,"larva","polyphagous","univoltine","Eil.comp"
"Noctuidae","Protodeltote pygarga",24.4,"pupa","oligophagous","bivoltine","Pro.pyga"
"Noctuidae","Diarsia dahlii",35.4,"larva","polyphagous","univoltine","Dia.dahl"
"Geometridae","Operophtera fagata",0,"egg","polyphagous","univoltine","Ope.faga"
"Noctuidae","Hoplodrina octogenaria",30.4,"larva","polyphagous","univoltine","Hop.octo"
"Geometridae","Chiasmia clathrata",21.4,"pupa","polyphagous","bivoltine","Chi.clat"
"Noctuidae","Diarsia mendica",32.7,"larva","polyphagous","univoltine","Dia.mend"
"Noctuidae","Diarsia brunnea",38,"larva","polyphagous","univoltine","Dia.brun"
"Geometridae","Lomaspilis marginata",22.7,"pupa","polyphagous","multivoltine","Lom.marg"
"Geometridae","Idaea aversata",25.6,"larva","oligophagous","univoltine","Ida.aver"
"Noctuidae","Syngrapha interrogationis",34.8,"larva","polyphagous","univoltine","Syn.inte"
"Noctuidae","Orthosia populeti",37.4,"pupa","oligophagous","univoltine","Ort.popu"
"Drepanidae","Achlya flavicornis",42.4,"pupa","polyphagous","univoltine","Ach.flav"
"Erebidae","Eilema depressum",31,"larva","polyphagous","univoltine","Eil.depr"
"Geometridae","Crocallis elinguaria",38.4,"egg","polyphagous","univoltine","Cro.elin"
"Geometridae","Dysstroma latefasciatum",32.2,"larva","oligophagous","univoltine","Dys.late"
"Geometridae","Ectropis crepuscularia",36.2,"pupa","polyphagous","bivoltine","Ect.crep"
"Geometridae","Entephria caesiata",31.5,"larva","oligophagous","univoltine","Ent.caes"
"Noctuidae","Xanthia togata",32.3,"egg","polyphagous","univoltine","Xan.toga"
"Geometridae","Lycia hirtaria",46.6,"pupa","polyphagous","univoltine","Lyc.hirt"
"Notodontidae","Pheosia tremula",48.8,"pupa","oligophagous","bivoltine","Phe.trem"
